Ready to connect
Time result: 0.000022910 seconds.
Time result: 0.000001365 seconds.
Time result: 0.000011170 seconds.
Time result: 0.000028266 seconds.
Time result: 0.000006445 seconds.
Time result: 0.000017883 seconds.
Time result: 0.000001251 seconds.
Time result: 0.000016284 seconds.
Time result: 0.000028586 seconds.
Time result: 0.000003948 seconds.
Time result: 0.000024934 seconds.
Time result: 0.000001185 seconds.
Time result: 0.000022478 seconds.
Time result: 0.000048543 seconds.
Time result: 0.000027541 seconds.
Time result: 0.000006856 seconds.
Time result: 0.000025472 seconds.
Time result: 0.000004947 seconds.
Time result: 0.000001603 seconds.
Time result: 0.000001257 seconds.
Time result: 0.000025480 seconds.
Time result: 0.000003736 seconds.
Time result: 0.000020672 seconds.
Time result: 0.000001138 seconds.
Time result: 0.000023534 seconds.
Time result: 0.000042943 seconds.
Time result: 0.000004376 seconds.
Time result: 0.000023373 seconds.
Time result: 0.000001163 seconds.
Time result: 0.000001226 seconds.
Time result: 0.000022119 seconds.
Time result: 0.000001102 seconds.
Time result: 0.000001079 seconds.
Time result: 0.000020972 seconds.
Time result: 0.000041874 seconds.
Time result: 0.000020361 seconds.
Time result: 0.000041020 seconds.
Time result: 0.000008907 seconds.
Time result: 0.000033585 seconds.
Time result: 0.000011727 seconds.
Time result: 0.000032453 seconds.
Time result: 0.000010312 seconds.
Time result: 0.000029830 seconds.
Time result: 0.000009007 seconds.
Time result: 0.000031078 seconds.
Time result: 0.000010281 seconds.
Time result: 0.000032670 seconds.
Time result: 0.000001104 seconds.
Time result: 0.000016232 seconds.
Time result: 0.000034004 seconds.
Time result: 0.000011775 seconds.
Time result: 0.000031421 seconds.
Time result: 0.000005829 seconds.
Time result: 0.000023593 seconds.
Time result: 0.000001594 seconds.
Time result: 0.000018050 seconds.
Time result: 0.000040836 seconds.
Time result: 0.000020144 seconds.
Time result: 0.000033415 seconds.
Time result: 0.000011462 seconds.
Time result: 0.000037779 seconds.
Time result: 0.000009306 seconds.
Time result: 0.000020862 seconds.
Time result: 0.000001084 seconds.
Time result: 0.000025086 seconds.
Time result: 0.000006068 seconds.
Time result: 0.000030146 seconds.
Time result: 0.000005272 seconds.
Time result: 0.000029630 seconds.
Time result: 0.000006760 seconds.
Time result: 0.999032569 seconds.
Time result: 0.000013389 seconds.
Time result: 0.000001308 seconds.
Time result: 0.000001143 seconds.
Time result: 0.000016793 seconds.
Time result: 0.000043245 seconds.
Time result: 0.000020458 seconds.
Time result: 0.000001237 seconds.
Time result: 0.000021373 seconds.
Time result: 0.000001066 seconds.
Time result: 0.000022647 seconds.
Time result: 0.000005056 seconds.
Time result: 0.000029516 seconds.
Time result: 0.000008909 seconds.
Time result: 0.000032962 seconds.
Time result: 0.000012816 seconds.
Time result: 0.000038027 seconds.
Time result: 0.000016606 seconds.
Time result: 0.000027768 seconds.
Time result: 0.000001226 seconds.
Time result: 0.000013417 seconds.
Time result: 0.000014437 seconds.
Time result: 0.000036759 seconds.
Time result: 0.000013057 seconds.
Time result: 0.000036631 seconds.
Time result: 0.000009965 seconds.
Time result: 0.000001206 seconds.
Time result: 0.000001176 seconds.
Time result: 0.000008760 seconds.
Time result: 0.000031467 seconds.
Time result: 0.000011259 seconds.
Time result: 0.000029985 seconds.
Time result: 0.000010223 seconds.
Time result: 0.000038177 seconds.
Time result: 0.000019417 seconds.
Time result: 0.000048737 seconds.
Time result: 0.000028419 seconds.
Time result: 0.000042031 seconds.
Time result: 0.000017986 seconds.
Time result: 0.999039865 seconds.
Time result: 0.000008213 seconds.
Time result: 0.000001015 seconds.
Time result: 0.000001494 seconds.
Time result: 0.000021679 seconds.
Time result: 0.000039105 seconds.
Time result: 0.000017205 seconds.
Time result: 0.000038333 seconds.
Time result: 0.000015788 seconds.
Time result: 0.000044608 seconds.
Time result: 0.000025944 seconds.
Time result: 0.000005610 seconds.
Time result: 0.000012556 seconds.
Time result: 0.000001172 seconds.
Time result: 0.000023573 seconds.
Time result: 0.000041552 seconds.
Time result: 0.000023005 seconds.
Time result: 0.000001504 seconds.
Time result: 0.000024581 seconds.
Time result: 0.000001138 seconds.
